Date(CST),Cases,Cases,Cases,Cases,Cases,Cases,Cases,Deaths(cumulative),Recovered(cumulative),Deaths + Recovered (cumulative),D/(D+R) [note 1],ΔD/Δ(D+R) (daily),D/C [note 1],(D+R)/C [note 1],Quarantine,Quarantine,Quarantine,Quarantine,Source
2020-02-11,"16,067","38,800",3.1%,"44,653",4.7%,"8,204",21.14%,"1,113","4,749","5,862",19.0%,11.4%,2.49%,13.1%,"185,037","30,068",,"451,462",[42]
2020-02-12,"13,435","52,526",35.4% [note 4],"59,804 [note 4]",33.9% [note 4],"8,030",15.29%,"1,259 [note 5]","5,911","7,170 [note 5]",17.6% [note 5],11.2% [note 5],2.11% [note 5],12.0% [note 5],"181,386","29,429",,"471,531",[44]
2020-02-13,"10,109","55,748",6.1%,"63,851",6.8%,"10,204",18.30%,"1,380","6,723","8,103",17.0%,13.0%,2.16%,12.7%,"177,984","26,905",,"493,067",[45]
2020-02-14,"8,969","56,873",2.0%,"66,492",4.1%,"11,053",19.4%,"1,523","8,096","9,619",15.8%,9.4%,2.29%,14.5%,"169,039","30,081",,"513,183",[46]
2020-02-15,"8,228","57,416",1.0%,"68,500",3.0%,"11,272",19.6%,"1,665","9,419","11,091",15.0%,9.6%,2.43%,16.2%,"158,764","29,788",,"529,418",[47]
2020-02-16,"7,264","57,934",0.9%,"70,548",3.0%,"10,644",18.4%,"1,770","10,844","12,614",14.0%,6.9%,2.51%,17.9%,"150,539","28,179",,"546,016",[48]
2020-02-17,"6,242","58,016",0.1%,"72,436",2.7%,"11,741",20.23%,"1,868","12,552","14,420",13.0%,5.4%,2.58%,19.9%,"141,552","27,908",,"560,901",[49]
2020-02-18,"5,248","57,805",-0.3%,"74,185",2.4%,"12,017",20.79%,"2,004","14,376","16,380",12.2%,6.9%,2.70%,22.1%,"135,581","25,014",,"574,418",[50]
2020-02-19,"4,922","56,303",-2.6%,"74,576",0.5%,"11,864",21.07%,"2,118","16,155","18,273",11.6%,6.0%,2.84%,24.5%,"126,363","25,318",,"589,163",[51]
2020-02-20,"5,206","54,965",,"75,465",,"11,633",,"2,236","18,264",,,,,,"120,302","28,804",,"606,037",[52]
"Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]","Notes:  ^ a b c This number should only be considered final once every person diagnosed with the disease has either died or recovered  ^ Does not match the sum of quarantined and released  ^ From this date, NHC reports released (on the day) instead of released (cumulative)  ^ a b c Starting from February 12th, confirmed cases are now considered by officials as both tested confirmed cases as well as clinically diagnosed cases.  All percentage values that have this note tag, are calculated using the confirmed cases values which are the sum of both the tested and clinically diagnosed values.  Thus any very large percentage value changes seen from the marked percentage when compared to previous percentage values are caused by this.    ^ a b c d e f In their February 13 report, Hubei Province deducted 108 prior deaths from the death toll due to double counting.[43]"
